"ID"	"X"	"Y"	"Hmax"	"Hmean"	"Hstd"	"CV"	"VD"	"h10"	"h20"	"h30"	"h40"	"h50"	"h60"	"h70"	"h80"	"h90"
63	5953.75	1193.08	21.94	17.6421021021021	4.02166532090864	0.227958397340272	0.751167354672802	13.92	15.682	17.652	17.96	19.09	19.69	20.124	20.286	20.488
64	5956.24	1193.89	22.33	18.1515463917526	2.46743703698009	0.135935362405332	0.656425526155512	15.67	16.81	17.07	17.65	18.02	18.68	19.54	20.32	20.91
65	5964.58	1195.94	22.82	18.2248214285714	4.78211268782552	0.262395585414544	0.757934628138323	13.855	16.82	18.145	18.93	19.745	20.32	20.705	21.16	21.93
66	5964.54	1194.11	20.67	16.3484153005464	4.15831871167861	0.254356072758906	0.412803681396765	7.118	15.864	16.978	17.63	18.02	18.284	18.538	18.776	19.03
67	5966.66	1190.91	22.1	15.544380952381	5.80022931798927	0.373139936273939	0.473709142586452	6.988	8.518	11.839	16.906	18.17	19.05	19.613	20.534	21.151
68	5968.86	1193.58	19.66	15.5236513157895	3.50131283583568	0.225546990499227	0.685750377839435	12.82	13.04	14.669	16.106	16.62	17.366	17.93	18.14	18.53
69	5969.51	1191.23	20.66	14.6580110497238	5.84817401890819	0.398974594784359	0.408292165753085	5.3	5.4	14.23	16.42	17.38	18.13	18.91	19.37	19.9
70	5970.55	1188.53	21.53	15.9557142857143	4.49656096078493	0.281815083942112	0.505289752092215	8.165	13.276	15.495	16.224	16.985	17.816	18.771	19.266	20.265
71	5977.67	1189.22	19.19	13.2487707641196	4.75263177800214	0.358722470379912	0.678983104373914	3.93	9.56	13.47	13.94	14.6	15.5	16.21	16.8	17.89
72	5981.02	1190.89	18.43	14.7413432835821	2.27117199748777	0.154068184547147	0.302271548126593	11.986	13.188	13.886	14.922	15.355	15.818	16.113	16.458	17.007
73	5981.83	1186.93	21.97	17.5859770114943	3.88540501895468	0.220937683269753	0.392501861000203	15.029	16.2	17.146	18.196	18.585	18.986	19.574	19.966	20.607
74	5894.34	1204.02	23.88	18.8731300813008	3.58005705680071	0.189690689428765	0.554916424172701	13.71	16.38	18.01	18.73	19.575	20.1	21.13	21.94	23.08
75	5897.23	1200.2	27.67	20.3274035087719	4.28854069150145	0.210973363600068	0.64289097922447	14.578	16.514	18.784	19.386	20.26	22.03	23.412	24.142	25.49
76	5898.61	1201.92	27.43	20.3049597855228	4.13674516370706	0.203730773535267	0.841397667546412	14.026	17.212	18.574	20.288	20.99	21.554	23.01	23.704	25.17
77	5899.72	1196.23	25.09	19.0977419354839	3.81137613576397	0.199572082848307	0.629356432293429	13.178	16.052	17.452	18.634	19.42	20.78	21.734	22.738	23.584
78	5903.45	1194.65	27.66	19.7945220030349	4.37762168507926	0.221153189978929	1.48654440459272	13.792	17.048	18.32	19.328	20.72	21.39	22.016	23.062	25.044
79	5905.08	1198.84	25.92	20.287106918239	4.04510286875579	0.199392790951334	0.717330987345199	15.68	18.098	19.411	20.574	21.3	21.742	22.388	23.384	24.279
80	5913.71	1194.62	22.8	18.3214453125	3.43274563706113	0.187362163765492	0.577474002391103	14.89	16.33	17.555	18.38	18.935	19.45	20.34	20.88	21.915
81	5913.79	1190.47	24.21	17.5839965397924	5.3044680274005	0.301664528618198	1.30382802102366	5.454	16.48	17.852	18.09	18.86	19.23	20.449	21.36	22.512
82	5918.77	1193.68	22.96	17.0537262357414	4.60996062302736	0.270319844431754	1.18652861428797	9.63	11.77	16.575	17.29	18.175	18.94	20.055	20.77	22.03
83	5936.87	1187.63	25.5	17.4752623211447	4.85152062341509	0.277622191544722	1.41887166993752	11.498	13.724	15.782	17.266	18.32	19.16	20.416	21.234	23.008
