FID_1,Id,FID_2,PlotNum,TreeNum,Species,X1,Y1,Status_200,d13_2009,hc_2009,Status_201,Notes_2010,Damage_cla,break_h,h,Distance,ID,X2,Y2,Hmax,Hmean,Hstd,CV,VD,h10,h20,h30,h40,h50,h60,h70,h80,h90
30,0,28,TEXAS,74,1,5979.573,1215.487,11,228,11.9,11,NA,0,NA,19.252246,0,12,5979.54,1214.92,20.43,15.49327941,3.975814287,0.256615412,1.533915319,12.207,14.576,15.16,15.446,16.52,17.09,17.57,17.944,19.331
14,0,224,TEXAS,185,1,5989.673,1196.614,11,234,8.2,11,NA,0,NA,19.461069,0,51,5989.6,1196.18,18.54,15.2033913,2.851814408,0.187577518,0.25941215,12.848,14.026,14.788,15.372,15.93,16.42,16.85,17.01,17.48
27,0,211,TEXAS,82,1,5979.152,1198.934,11,235,11.8,11,NA,0,NA,19.495301,0,45,5978.84,1198.76,20.94,16.35295522,3.424189914,0.209392729,0.75567887,12.646,15.49,16.144,16.612,17.02,17.744,18.136,18.634,19.49
7,0,306,TEXAS,158,1,5968.749,1193.181,11,235,12.9,12,2-haarainen. Kaksi merkitt‰v‰‰ isoa latvaa,0,NA,19.495301,0,68,5968.86,1193.58,19.66,15.52365132,3.501312836,0.22554699,0.685750378,12.82,13.04,14.669,16.106,16.62,17.366,17.93,18.14,18.53
76,0,336,TEXAS,302,1,5913.794,1195.166,11,239,13.2,11,NA,0,NA,19.630638,0,80,5913.71,1194.62,22.8,18.32144531,3.432745637,0.187362164,0.577474002,14.89,16.33,17.555,18.38,18.935,19.45,20.34,20.88,21.915
10,0,219,TEXAS,181,1,5984.123,1192.027,11,241,10.9,11,NA,0,NA,19.697366,0,48,5984.32,1192.1,18.67,15.11896667,2.070752032,0.13696386,0.676727347,12.71,13.424,14.267,14.89,15.45,15.98,16.13,17.03,17.481
73,0,241,TEXAS,311,1,5909.726,1209.037,11,241,13.4,11,NA,0,NA,19.697366,0,57,5910.05,1208.57,19.99,15.36619048,4.136571103,0.26919952,0.568450971,7.797,14.342,15.422,15.824,16.085,16.906,17.994,18.434,19.14
25,0,310,TEXAS,154,1,5970.247,1188.47,11,242,12.3,11,NA,0,NA,19.7305,0,70,5970.55,1188.53,21.53,15.95571429,4.496560961,0.281815084,0.505289752,8.165,13.276,15.495,16.224,16.985,17.816,18.771,19.266,20.265
64,0,60,TEXAS,375,1,5933.134,1222.454,11,243,13.6,11,NA,0,NA,19.76348,0,19,5933.22,1221.85,21.48,17.2843771,3.341563252,0.193328532,0.669960073,14.456,15.57,16.754,17.41,18.42,18.83,19.052,19.588,20.51
20,0,209,TEXAS,84,1,5978.894,1202.566,11,244,13.8,11,NA,0,NA,19.796309,0,43,5979.09,1202.77,20.79,16.50734007,3.510012993,0.21263347,0.669960073,11.486,15.706,16.218,16.864,17.46,17.912,18.4,18.8,19.362
5,0,305,TEXAS,157,1,5966.734,1190.526,11,244,15.3,11,NA,0,NA,19.796309,0,67,5966.66,1190.91,22.1,15.54438095,5.800229318,0.373139936,0.473709143,6.988,8.518,11.839,16.906,18.17,19.05,19.613,20.534,21.151
72,0,145,TEXAS,307,1,5914.757,1216.755,11,246,12.5,11,NA,0,NA,19.861516,0,38,5914.32,1216.12,19.68,16.6363871,2.572267436,0.15461695,1.048927387,14.146,15.246,16.14,16.794,17.39,17.8,18.136,18.46,18.87
2,0,294,TEXAS,133,1,5956.55,1193.868,11,249,12.9,11,NA,0,NA,19.958216,0,64,5956.24,1193.89,22.33,18.15154639,2.467437037,0.135935362,0.656425526,15.67,16.81,17.07,17.65,18.02,18.68,19.54,20.32,20.91
6,0,309,TEXAS,155,1,5969.936,1191.622,11,249,11.4,11,NA,0,NA,19.958216,0,69,5969.51,1191.23,20.66,14.65801105,5.848174019,0.398974595,0.408292166,5.3,5.4,14.23,16.42,17.38,18.13,18.91,19.37,19.9
79,0,394,TEXAS,285,1,5918.349,1188.87,11,252,15.6,11,NA,0,NA,20.053605,0,98,5918.93,1188.9,21.54,14.18976834,7.04596646,0.496552607,0.584241276,2.888,3.296,11.48,16.808,18.27,18.872,19.332,19.9,20.282
65,0,57,TEXAS,382,1,5929.509,1222.045,11,257,14,11,NA,0,NA,20.20975,0,17,5929.47,1222.39,21.02,18.0723221,2.580142475,0.142767623,0.602287338,15.48,16.22,17.276,18.16,18.54,19.082,19.724,20.088,20.62
1,0,292,TEXAS,127,1,5954.114,1193.907,11,257,12.5,11,NA,0,NA,20.20975,0,63,5953.75,1193.08,21.94,17.6421021,4.021665321,0.227958397,0.751167355,13.92,15.682,17.652,17.96,19.09,19.69,20.124,20.286,20.488
4,0,301,TEXAS,140,1,5964.562,1196.289,11,259,15.1,11,NA,0,NA,20.271237,0,65,5964.58,1195.94,22.82,18.22482143,4.782112688,0.262395585,0.757934628,13.855,16.82,18.145,18.93,19.745,20.32,20.705,21.16,21.93
15,0,222,TEXAS,100,1,5989.354,1198.818,11,267,12.2,11,NA,0,NA,20.511814,0,50,5989.28,1199.36,19.75,14.11024155,3.59483103,0.254767505,0.466941869,9.08,12.412,13.556,14.27,14.34,15.5,16.3,17.012,18.064
98,0,34,TEXAS,422,1,5903.171,1234.742,11,269,12.5,11,NA,0,NA,20.57065,0,15,5902.92,1234.68,21.86,11.40410959,7.355631503,0.644998318,1.317362568,2.51,2.802,3.139,6.908,14.85,15.778,17.941,18.73,20.04
80,0,340,TEXAS,283,1,5918.296,1193.323,11,270,14.3,11,NA,0,NA,20.599878,0,82,5918.77,1193.68,22.96,17.05372624,4.609960623,0.270319844,1.186528614,9.63,11.77,16.575,17.29,18.175,18.94,20.055,20.77,22.03
71,0,50,TEXAS,399,1,5920.455,1220.053,11,279,14,11,NA,0,NA,20.857325,0,16,5920.08,1219.6,22.34,16.92327362,3.726415586,0.220194725,1.385035303,13.61,15.036,15.32,15.942,17.09,18.568,19.192,19.914,20.821
22,0,322,TEXAS,175,1,5982.002,1186.773,11,280,12,11,NA,0,NA,20.885323,0,73,5981.83,1186.93,21.97,17.58597701,3.885405019,0.220937683,0.392501861,15.029,16.2,17.146,18.196,18.585,18.986,19.574,19.966,20.607
32,0,23,TEXAS,70,1,5974.876,1221.491,11,282,11.3,12,2-haarainen 8 m l‰htien,0,NA,20.940964,0,8,5974.63,1221.13,22.02,17.41810748,3.147027878,0.180675649,0.965464348,13.714,15.39,16.54,17.248,17.765,18.438,19.259,19.738,20.726
62,0,67,TEXAS,362,1,5939.853,1221.417,11,308,12.4,11,NA,0,NA,21.623716,0,21,5939.61,1221.03,21.4,16.2399726,4.777258024,0.294166631,0.823351605,7.302,15.244,16.024,16.686,17.85,18.714,19.13,19.52,20.056
75,0,338,TEXAS,287,1,5913.699,1191.233,11,308,13.8,11,NA,0,NA,21.623716,0,81,5913.79,1190.47,24.21,17.58399654,5.304468027,0.301664529,1.303828021,5.454,16.48,17.852,18.09,18.86,19.23,20.449,21.36,22.512
78,0,396,TEXAS,263,1,5919.511,1184.818,11,310,11.5,11,NA,0,NA,21.673301,0,99,5919.69,1184.84,22.59,17.18911227,3.916151846,0.227827463,0.863955246,14.028,15.504,16.41,16.868,17.42,18.542,19.5,20.254,20.9
23,0,389,TEXAS,171,1,5976.938,1181.43,11,312,9.4,11,NA,0,NA,21.722491,0,95,5976.75,1180.91,19.58,14.61966146,3.929636227,0.268791192,0.866211004,9.979,12.54,13.529,14.562,15.82,16.788,17.191,17.7,18.247
24,0,387,TEXAS,151,1,5970.477,1184.745,11,319,10.9,11,NA,0,NA,21.89162,0,94,5970.88,1185.04,21.2,16.01165333,3.698876175,0.231011508,0.845909183,10.754,13.538,14.172,15.992,16.94,17.834,18.52,19.172,20.04
17,0,117,TEXAS,91,2,5984.826,1204.507,11,176,6.7,11,NA,0,NA,15.660342,0,28,5984.24,1204.19,16.41,12.92482759,2.437524057,0.188592385,0.588752792,10.02,11.59,11.73,13,13.67,14.17,14.45,14.95,15.16
19,0,109,TEXAS,79,2,5977.301,1204.95,11,179,6.8,11,NA,0,NA,15.873366,0,26,5977.51,1204.93,17.92,13.03443526,3.576811661,0.274412477,0.818840089,7.748,10.014,11.526,13.054,14.32,14.78,15.3,15.942,16.918
67,0,162,TEXAS,368,2,5934.966,1210.957,11,182,5.8,12,latvus ep‰symmetrinen,0,NA,16.085571,0,42,5934.61,1210.2,18.04,12.95429119,3.268568255,0.252315484,0.588752792,8.04,9.6,11.06,12.18,13.88,14.66,15.37,15.89,16.89
50,0,375,TEXAS,111,2,5947.346,1185.534,11,187,5.1,11,NA,0,NA,16.437434,0,86,5947.48,1185.13,18.78,14.75546667,2.683696416,0.181878112,0.845909183,10.272,12.872,13.918,14.896,15.73,16.094,16.468,16.874,17.634
29,0,119,TEXAS,89,2,5986.619,1207.861,11,200,7.5,11,NA,0,NA,17.341829,0,30,5986.7,1207.8,19.24,16.21326733,2.72458588,0.168046688,0.22783154,13.83,15.01,16.19,16.58,16.96,17.17,17.44,17.95,18.29
44,0,367,TEXAS,199,2,5941.047,1185.941,11,201,7.7,11,NA,0,NA,17.410781,0,84,5941.44,1185.92,19.98,14.98303621,3.318864815,0.221508162,0.809817058,10.488,12.268,14.104,15.042,15.55,15.97,17.11,17.626,18.66
81,0,404,TEXAS,240,2,5928.177,1181.139,11,202,6,11,NA,0,NA,17.479644,0,100,5928.21,1180.28,19.35,12.66158559,4.00858141,0.316593951,1.251945591,7.044,8.72,10.152,12.1,12.75,13.908,15.648,16.88,17.664
99,0,31,TEXAS,423,2,5897.456,1234.729,11,203,6.3,11,NA,0,NA,17.548421,0,13,5897.08,1234.17,18.79,13.8669869,3.569691139,0.257423705,0.516568541,8.934,9.74,12.178,13.58,14.45,15.698,16.574,17.402,17.954
51,0,376,TEXAS,113,2,5949.944,1188.17,11,203,9.3,11,NA,0,NA,17.548421,0,87,5950.22,1187.82,19.27,14.85305,2.495210188,0.167993118,0.902303129,11.859,12.638,13.444,14.19,14.975,15.754,16.459,17.12,18.042
69,0,59,TEXAS,384,2,5930.842,1218.365,11,205,7.4,11,NA,0,NA,17.685713,0,18,5930.42,1217.8,20.77,14.41896936,4.049797125,0.280865922,0.809817058,8.318,11.682,13.044,14.642,15,15.928,16.688,17.62,18.86
12,0,217,TEXAS,96,2,5983.567,1197.489,11,205,6,11,NA,0,NA,17.685713,0,47,5983.82,1197.56,18.89,13.68066225,2.935858536,0.214599153,0.681238862,10.352,10.68,11.953,12.77,13.33,14.046,15.241,16.94,17.949
40,0,25,TEXAS,66,2,5974.539,1217.108,11,206,2.5,11,NA,0,NA,17.754229,0,9,5974.28,1216.95,19.74,14.00111406,3.594036925,0.256696496,0.850420699,8.768,11.242,12.888,13.864,14.72,15.49,16.032,17.1,17.894
13,0,225,TEXAS,183,2,5989.116,1193.513,11,207,5.4,11,NA,0,NA,17.822658,0,52,5988.62,1193.13,17.41,12.91843284,3.36438352,0.260432791,0.302271548,7.067,10.184,11.872,13.22,13.785,14.544,15.282,15.924,16.065
16,0,122,TEXAS,98,2,5987.26,1201.767,11,212,7.2,11,NA,0,NA,18.163512,0,31,5987.59,1201.51,18.03,12.975,3.507329442,0.270314408,0.852676457,8.534,10.36,11.28,12.438,13.35,14.394,15.808,16.38,16.806
66,0,161,TEXAS,213,2,5932.339,1207.421,11,222,8.1,11,NA,0,NA,18.83882,0,41,5932.49,1206.36,20.16,15.45062053,3.177483672,0.205654114,0.945162527,11.76,12.93,14.574,15.312,16.04,16.528,17.206,18.04,19.05
57,0,377,TEXAS,112,2,5950.257,1184.013,11,225,6.1,11,NA,0,NA,19.039767,0,88,5950.58,1183.95,19.63,13.48737952,3.596654463,0.266668144,0.748911597,9.926,10.4,11.078,12.674,12.98,14.604,16.181,16.91,18.067
58,0,286,TEXAS,115,2,5947.759,1195.419,11,227,8.7,11,NA,0,NA,19.173314,0,61,5947.81,1194.88,21.04,14.53204444,4.23451633,0.291391645,1.01509102,9.484,11.51,12.757,13.982,15,16.38,17.13,18.422,19.362
48,0,412,TEXAS,203,2,5936.46,1183.948,11,231,7.9,11,NA,0,NA,19.439411,0,101,5936.9,1183.6,21.68,14.57692171,4.748326917,0.325742774,1.267735896,5.513,10.962,13.069,14.258,15.44,16.57,17.581,18.506,19.988
45,0,371,TEXAS,198,2,5943.912,1185.941,11,235,7.4,11,NA,0,NA,19.704186,0,85,5943.88,1185.1,21.88,15.35807302,3.36827266,0.219316099,1.112088606,11.044,12.28,13.292,14.546,15.4,16.16,17.108,18.57,19.99
36,0,11,TEXAS,31,2,5961.04,1220.429,11,243,1.9,11,NA,0,NA,20.229811,0,4,5961,1219.91,18.92,14.33004016,3.289388179,0.229544938,0.561683698,10.62,11.854,13.176,14.2,15.16,15.818,16.61,17.174,17.662
103,0,32,TEXAS,431,2,5896.268,1229.67,11,243,10.4,11,NA,0,NA,20.229811,0,14,5896.16,1228.81,23.88,16.72146939,4.575475014,0.273628765,0.552660666,10.756,12.676,14.246,15.544,17.37,19.034,20.182,21.26,22.092
42,0,271,TEXAS,221,2,5934.324,1196.795,11,244,5.7,11,NA,0,NA,20.295149,0,58,5934.39,1196.53,22.56,15.51854167,4.865599602,0.31353459,0.866211004,7.112,11.516,13.478,15.738,16.845,18.12,19.213,19.72,20.685
35,0,13,TEXAS,35,2,5965.473,1221.85,11,247,4.3,11,NA,0,NA,20.49068,0,5,5965.78,1221.71,19.82,13.59425197,4.819399864,0.354517474,0.572962487,6.09,8.614,11.435,13.218,15.065,16.148,17.254,17.988,19.121
56,0,379,TEXAS,129,2,5953.676,1182.914,11,247,6.2,11,NA,0,NA,20.49068,0,90,5954.06,1182.59,24.32,17.5955102,3.490790357,0.198390971,0.6631928,13.476,14.902,15.718,16.8,18.105,18.52,19.478,20.616,22.118
92,0,126,TEXAS,347,2,5895.757,1217.702,11,248,11.7,11,NA,0,NA,20.555697,0,33,5895.51,1216.7,24.05,19.313379,2.956012765,0.153055183,0.494010963,15.014,16.332,18.122,18.88,19.83,20.786,21.33,21.756,22.64
