PlotNum;TreeNum;Species;X;Y;Status_2009;d13_2009;hc_2009;Status_2010;Notes_2010;Damage_class;break_h;h
TEXAS;398;1;2515921.215;6861225.898;12;187;10.3;12;latvus toispuoleinen. Puu nro 397 varjostaa;0;NA;17.64789437
TEXAS;399;1;2515920.455;6861220.053;11;279;14;11;;0;NA;20.85732531
TEXAS;390;1;2515923.218;6861221.499;11;160;12.5;11;;0;NA;16.38673136
TEXAS;389;1;2515923.406;6861219.736;11;179;14.7;11;;0;NA;17.29340142
TEXAS;391;1;2515926.345;6861222.554;12;168;13.1;11;normaali;0;NA;16.78018199
TEXAS;381;1;2515927.286;6861223.812;11;257;10.5;11;;0;NA;20.20975022
TEXAS;380;1;2515928.903;6861226.772;11;221;11.7;11;;0;NA;19.00093243
TEXAS;383;1;2515928.722;6861220.212;14;247;NA;14;nojaa puuhun nro 372;0;NA;19.8938964
TEXAS;382;1;2515929.509;6861222.045;11;257;14;11;;0;NA;20.20975022
TEXAS;378;2;2515931.06;6861225.363;11;122;2.4;11;;0;NA;11.6799828
TEXAS;384;2;2515930.842;6861218.365;11;205;7.4;11;;0;NA;17.68571311
TEXAS;375;1;2515933.134;6861222.454;11;243;13.6;11;;0;NA;19.76348004
TEXAS;373;2;2515934.345;6861220.189;11;178;3.1;11;;0;NA;15.80244956
TEXAS;374;2;2515934.986;6861221.722;11;162;2.9;11;;0;NA;14.65523743
TEXAS;371;2;2515934.344;6861216.244;11;173;5.9;12;katkennut 13 m korkeudelta;1;13;15.44649182
TEXAS;366;2;2515936.365;6861218.412;12;143;6.2;12;katkennut 11 m korkeudelta;1;11;13.26153092
TEXAS;365;1;2515936.871;6861220.234;11;247;12.7;22;pökkelö 11 m;1;11;19.8938964
TEXAS;364;1;2515937.703;6861222.837;11;222;13.4;11;;0;NA;19.0373558
TEXAS;362;1;2515939.853;6861221.417;11;308;12.4;11;;0;NA;21.62371622
TEXAS;358;2;2515938.524;6861215.149;11;252;6.4;11;;0;NA;20.81496376
TEXAS;359;2;2515940.853;6861216.716;12;107;NA;12;Latva katkennut n. 5 m korkeudelta;0;NA;10.52288041
TEXAS;356;1;2515942.511;6861215.489;11;242;14.8;22;pökkelö 13 m;1;13;19.73049952
TEXAS;355;1;2515945.068;6861217.168;11;252;12.3;11;;0;NA;20.05360548
TEXAS;354;1;2515945.186;6861214.076;11;172;14.6;11;;0;NA;16.97040533
TEXAS;4;1;2515946.902;6861212.819;11;192;14.6;11;;0;NA;17.86193369
TEXAS;5;1;2515947.916;6861215.189;11;214;13.7;11;;0;NA;18.74093345
TEXAS;6;1;2515949.145;6861215.687;11;227;14.2;11;;0;NA;19.21685901
TEXAS;7;1;2515951.256;6861215.244;11;226;13.7;11;;0;NA;19.18130268
TEXAS;8;1;2515951.58;6861213.216;11;213;14.1;11;;0;NA;18.70305537
TEXAS;20;1;2515954.521;6861220.035;11;227;11.4;22;pökkelö 8 m;1;8;19.21685901
TEXAS;19;1;2515954.25;6861217.468;11;231;12.8;11;;0;NA;19.35739951
TEXAS;21;2;2515955.167;6861218.799;11;212;2.8;11;;0;NA;18.16351207
TEXAS;15;2;2515953.887;6861212.725;11;157;2.6;11;;0;NA;14.29182226
TEXAS;18;1;2515956.895;6861216.401;11;218;16.2;11;;0;NA;18.89059386
TEXAS;17;1;2515956.345;6861212.599;11;225;13.5;11;;0;NA;19.14557543
TEXAS;16;1;2515956.576;6861211.154;12;190;14.9;11;normaali;0;NA;17.77699197
TEXAS;22;2;2515959.153;6861218.991;11;182;1.5;11;;0;NA;16.08557064
TEXAS;23;1;2515958.827;6861214.354;12;152;14.7;12;latvus supistunut;0;NA;15.97493136
TEXAS;24;1;2515959.832;6861211.343;11;192;16.3;11;;0;NA;17.86193369
TEXAS;29;1;2515960.968;6861214.232;11;217;15.9;11;;0;NA;18.85345382
TEXAS;30;1;2515961.584;6861216.101;11;229;14.7;11;;0;NA;19.28746382
TEXAS;28;1;2515961.47;6861210.521;11;194;14.4;11;;0;NA;17.94599307
TEXAS;38;2;2515963.06;6861215.009;11;178;5.8;11;;0;NA;15.80244956
TEXAS;27;1;2515961.703;6861208.584;11;202;13.7;11;;0;NA;18.27367656
TEXAS;40;1;2515964.152;6861213.01;11;194;14.9;11;;0;NA;17.94599307
TEXAS;41;1;2515963.705;6861210.446;11;186;13.5;11;;0;NA;17.60440535
TEXAS;37;2;2515965.299;6861216.027;11;158;6.1;11;;0;NA;14.36469483
TEXAS;39;2;2515966.172;6861214.825;11;199;6;11;;0;NA;17.27279054
TEXAS;47;1;2515967.227;6861212.424;21;141;NA;21;kelo;0;NA;15.37630924
TEXAS;46;1;2515967.817;6861210.18;11;233;14.3;11;;0;NA;19.42667555
TEXAS;45;1;2515967.726;6861206.874;11;201;14.6;11;;0;NA;18.23344742
TEXAS;54;1;2515970.096;6861213.611;11;225;12.2;11;;0;NA;19.14557543
TEXAS;65;1;2515972.113;6861215.913;11;220;12.8;11;;0;NA;18.96433185
TEXAS;55;1;2515970.437;6861209.409;13;162;12.9;12;katkennut 15 m korkeudelta;0;NA;16.48676555
TEXAS;64;2;2515972.741;6861213.266;11;83;NA;11;;0;NA;8.622024563
TEXAS;63;2;2515973.486;6861211.722;11;149;4.7;11;;0;NA;13.70540087
TEXAS;60;1;2515972.756;6861208.891;11;165;13.8;11;;0;NA;16.63470981
TEXAS;62;1;2515974.48;6861210.875;11;170;12.6;23;lumen/tuulenkaato;3;NA;16.87582048
TEXAS;61;1;2515974.663;6861208.006;11;215;13.8;22;pökkelö 9 m;1;9;18.77862496
TEXAS;76;2;2515979.028;6861211.743;11;150;5.1;12;katkennut 7 m korkeudelta;1;7;13.77903982
TEXAS;79;2;2515977.301;6861204.95;11;179;6.8;11;;0;NA;15.8733664
TEXAS;78;2;2515978.239;6861206.682;11;141;6.5;11;;0;NA;13.11279395
TEXAS;75;2;2515980.293;6861212.37;11;233;5.1;11;;0;NA;19.57196306
TEXAS;77;2;2515979.628;6861207.904;11;165;3.3;11;;0;NA;14.87215446
TEXAS;85;2;2515979.487;6861205.094;11;124;5.7;22;pökkelö 1.5 m;1;1.5;11.83251448
TEXAS;87;2;2515982.058;6861212.621;11;189;5.3;11;;0;NA;16.5775498
TEXAS;86;2;2515981.766;6861207.109;11;253;9.1;11;;0;NA;20.87958158
TEXAS;90;2;2515983.243;6861204.585;11;155;6.2;11;;0;NA;14.1457915
TEXAS;91;2;2515984.826;6861204.507;11;176;6.7;11;;0;NA;15.66034171
TEXAS;88;1;2515986.795;6861209.759;11;218;10.9;11;;0;NA;18.89059386
TEXAS;89;2;2515986.619;6861207.861;11;200;7.5;11;;0;NA;17.34182932
TEXAS;93;2;2515985.885;6861202.804;12;97;7;12;latva vaurioitunut. Joku tippuneista latvoista ehkä osunut tähän;0;NA;9.738385442
TEXAS;92;2;2515988.244;6861206.201;11;176;4.2;11;;0;NA;15.66034171
TEXAS;98;2;2515987.26;6861201.767;11;212;7.2;11;;0;NA;18.16351207
TEXAS;430;2;2515891.054;6861225.298;11;246;8.1;11;;0;NA;20.42558346
TEXAS;349;2;2515891.4;6861220.369;11;286;8.9;11;;0;NA;22.96834402
TEXAS;433;2;2515897.258;6861223.707;11;197;10;11;;0;NA;17.13444962
TEXAS;347;2;2515895.757;6861217.702;11;248;11.7;11;;0;NA;20.55569661
TEXAS;346;2;2515896.508;6861220.211;11;278;11.2;11;;0;NA;22.46963156
TEXAS;434;1;2515900.869;6861222.753;11;208;14.3;11;;0;NA;18.51081756
TEXAS;338;2;2515899.906;6861218.463;11;263;4.9;11;;0;NA;21.52142279
TEXAS;337;16;2515902.534;6861220.369;11;90;2.3;11;;0;NA;9.182870465
TEXAS;435;1;2515903.337;6861223.093;11;238;15;22;pökkelö 12 m;1;12;19.59704018
TEXAS;336;1;2515903.059;6861218.451;11;196;12.6;11;;0;NA;18.02918379
TEXAS;413;2;2515906.195;6861223.712;11;136;6.8;11;;0;NA;12.7392299
TEXAS;412;2;2515905.954;6861221.232;11;194;5;11;;0;NA;16.92627732
TEXAS;330;2;2515905.744;6861219.05;22;128;NA;23;maassa kuollut;3;NA;12.13636073
TEXAS;331;1;2515905.877;6861216.423;11;248;15;11;;0;NA;19.92612921
TEXAS;332;1;2515906.206;6861214.804;11;248;12.8;11;;0;NA;19.92612921
TEXAS;329;1;2515907.571;6861217.685;11;270;13.4;11;;0;NA;20.59987756
TEXAS;333;2;2515907.661;6861213.385;11;104;4.9;11;;0;NA;10.28864514
TEXAS;411;2;2515910.508;6861222.54;11;221;4.9;11;;0;NA;18.77166992
TEXAS;328;1;2515911.581;6861217.602;12;253;14;12;2-haarainen. Puu nro 307 puoleinen haara katkennut;0;NA;20.08511572
TEXAS;327;2;2515912.89;6861219.211;11;184;6.9;11;;0;NA;16.22658668
TEXAS;309;1;2515911.713;6861213.21;11;179;11.7;14;nojaa puuhun nro 310;2;NA;17.29340142
TEXAS;308;1;2515913.115;6861214.444;11;201;13.9;11;;0;NA;18.23344742
TEXAS;307;1;2515914.757;6861216.755;11;246;12.5;11;;0;NA;19.8615161
TEXAS;291;1;2515915.726;6861211.199;11;122;13.5;14;taipunut 7 m / 313 astetta;2;NA;14.24324545
TEXAS;306;1;2515916.968;6861214.887;11;188;13.5;22;pökkelö 9 m;1;9;17.69115395
TEXAS;273;1;2515917.803;6861210.576;11;228;14.2;11;;0;NA;19.25224566
TEXAS;272;1;2515919.452;6861212.821;11;204;13.8;22;pökkelö 10 m;1;10;18.35352389
TEXAS;271;1;2515921.69;6861210.764;11;203;12.6;11;;0;NA;18.31370154
TEXAS;388;1;2515923.315;6861216.088;11;207;13.1;11;;0;NA;18.47179049
TEXAS;387;1;2515926.326;6861217.818;11;237;15.1;22;pökkelö 12 m;1;12;19.56328564
TEXAS;386;1;2515926.555;6861215.08;11;220;15.4;11;;0;NA;18.96433185
TEXAS;255;1;2515926.207;6861213.333;11;183;13.6;11;;0;NA;17.4725432
TEXAS;245;2;2515925.77;6861210.044;11;276;5.4;11;;0;NA;22.34419869
TEXAS;385;2;2515928.626;6861214.526;11;197;3.1;12;pökkelö 12 m;1;12;17.13444962
TEXAS;244;1;2515928.405;6861209.093;11;184;12.5;11;;0;NA;17.51673163
TEXAS;372;2;2515932.321;6861216.236;11;233;8.5;14;vino 1 m / 136 astetta. Puu nro 383 nojaa tähän;0;NA;19.57196306
TEXAS;369;1;2515931.517;6861211.577;11;220;14.1;11;;0;NA;18.96433185
TEXAS;370;2;2515933.744;6861214.301;11;169;5.1;12;pökkelö 14 m;1;14;15.16006667
TEXAS;213;2;2515932.339;6861207.421;11;222;8.1;11;;0;NA;18.83882012
TEXAS;368;2;2515934.966;6861210.957;11;182;5.8;12;latvus epäsymmetrinen;0;NA;16.08557064
TEXAS;212;2;2515934.228;6861206.009;11;168;7.5;12;latvus piiskautunut. Puuttuu 1 m latvasta;1;-1;15.08822848
TEXAS;367;2;2515936.67;6861212.736;11;185;10.9;22;pökkelö 8 m;1;8;16.29695918
TEXAS;211;2;2515935.518;6861205.741;11;235;6.3;11;;0;NA;19.70418604
TEXAS;357;2;2515937.709;6861212.372;12;139;5.6;12;Toispuoleinen. puu nro 367 piiskannut;0;NA;12.96366424
TEXAS;352;1;2515940.27;6861211.894;11;203;12.5;22;pökkelö 7 m;1;7;18.31370154
TEXAS;209;1;2515938.851;6861205.111;11;198;13;11;;0;NA;18.11151924
TEXAS;353;1;2515942.691;6861213.508;11;211;13.1;11;;0;NA;18.62673398
TEXAS;351;2;2515942.315;6861209.918;11;211;3.3;11;;0;NA;18.09551316
TEXAS;187;1;2515941.856;6861205.733;11;235;15;11;;0;NA;19.49530122
TEXAS;350;1;2515945.269;6861211.67;11;163;13.8;11;;0;NA;16.53635886
TEXAS;186;1;2515943.961;6861204.475;12;167;14.6;12;viereiset puut nro 122 ja 187 piiskaavat;0;NA;16.7319621
TEXAS;101;1;2515945.72;6861205.53;11;238;13.1;22;pökkelö 8 m;1;8;19.59704018
TEXAS;1;1;2515946.999;6861209.081;14;203;14;14;;0;NA;18.31370154
TEXAS;102;1;2515945.379;6861203.098;11;167;15.5;11;;0;NA;16.7319621
TEXAS;2;2;2515948.039;6861209.503;11;102;2.3;12;latvus kärsinyt;0;NA;10.13195998
TEXAS;3;2;2515949.113;6861211.073;11;185;6.5;11;;0;NA;16.29695918
TEXAS;9;1;2515951.44;6861210.689;11;248;12.9;11;;0;NA;19.92612921
TEXAS;121;2;2515950.276;6861203.392;11;186;6;11;;0;NA;16.36724157
TEXAS;10;1;2515952.812;6861208.817;11;177;13.2;22;pökkelö 5 m;1;5;17.20237043
TEXAS;14;1;2515953.506;6861210.542;11;190;13.3;11;;0;NA;17.77699197
TEXAS;122;1;2515951.532;6861202.342;11;232;16;11;;0;NA;19.3921194
TEXAS;119;2;2515952.089;6861200.821;11;206;4.6;11;;0;NA;17.754229
TEXAS;11;1;2515953.843;6861206.657;11;210;13.8;11;;0;NA;18.58828785
TEXAS;123;1;2515953.97;6861202.423;11;257;15.8;11;;0;NA;20.20975022
TEXAS;12;1;2515956.098;6861206.478;11;239;12;11;;0;NA;19.63063775
TEXAS;13;1;2515958.251;6861209.034;11;192;13.3;11;;0;NA;17.86193369
TEXAS;125;1;2515956.127;6861200.45;11;157;12.4;11;;0;NA;16.23452463
TEXAS;25;1;2515959.377;6861205.717;11;199;12.5;11;;0;NA;18.15237035
TEXAS;26;1;2515960.344;6861207.211;12;218;13.7;12;2-haarainen. Haarautuu 11m korkeudella.;0;NA;18.89059386
TEXAS;136;1;2515960.43;6861199.2;12;222;14.1;22;kuollut. Katkennut n. 11 m korkeudelta;1;11;19.0373558
TEXAS;42;1;2515962.208;6861205.184;11;181;12;11;;0;NA;17.38345378
TEXAS;137;1;2515961.957;6861200.334;12;168;13.8;22;pökkelö 10 m;1;10;16.78018199
TEXAS;44;1;2515964.763;6861207.284;11;196;12.7;11;;0;NA;18.02918379
TEXAS;138;1;2515963.432;6861200.106;11;187;14.2;22;pökkelö 11 m;1;11;17.64789437
TEXAS;43;1;2515965.228;6861204.397;13;125;13.2;13;kituva;0;NA;14.43120658
TEXAS;139;1;2515964.993;6861199.909;11;227;13;12;katkennut 11 m korkeudelta;1;11;19.21685901
TEXAS;57;1;2515967.877;6861203.375;11;202;13.8;11;;0;NA;18.27367656
TEXAS;56;1;2515969.405;6861205.476;11;234;13.6;11;;0;NA;19.4610691
TEXAS;58;1;2515970.179;6861203.498;11;245;10.9;11;;0;NA;19.82898729
TEXAS;159;2;2515969.395;6861199.368;11;213;3.3;12;latva katkennut n. 17 m korkeudelta;1;17;18.23142539
TEXAS;59;1;2515972.467;6861204.929;11;264;12.7;11;;0;NA;20.42258847
TEXAS;160;2;2515970.9;6861198.314;11;139;2.7;11;;0;NA;12.96366424
