ID;X;Y;Hmax;Hmean;Hstd;pene;CV;h10;h20;h30;h40;h50;h60;h70;h80;h90;TreeNum;Species;X_1;Y_1;d13_2009;hc_2009;Damage_cla;h
87;5950.22;1187.82;19.27;14.510485;2.825692;0.630277;0.194734;11.354;12.358;13.088;13.87;14.66;15.442;16.324;16.9;18.008;113;2;5949.944;1188.17;203;9.3;0;17.548421
88;5950.58;1183.95;19.63;12.694623;4.059104;0.792181;0.31975;6.382;10.094;10.694;11.522;12.86;13.512;15.738;16.712;17.88;112;2;5950.257;1184.013;225;6.1;0;19.039767
89;5955.19;1186;24.42;14.317503;5.209072;0.72973;0.363825;8.24;9.038;11.654;12.66;14.25;15.73;17.44;19.45;21.446;128;2;5954.241;1186.01;287;7.5;0;23.030346
90;5954.06;1182.59;24.32;17.029906;3.972414;0.583942;0.233261;12.828;14.102;15.061;16.396;17.565;18.344;19.206;20.516;21.832;129;2;5953.676;1182.914;247;6.2;0;20.49068
91;5962;1184.02;24.57;13.860546;5.470896;0.70475;0.39471;5.428;9.706;11.036;12.68;14.68;15.27;16.418;18.648;21.646;147;2;5961.596;1184.152;318;10.3;0;24.916087
92;5961.21;1182.52;22.55;16.859154;3.573331;0.883657;0.211952;12.768;15.2;16.33;17.032;17.53;17.988;19.04;19.244;20.512;148;2;5961.031;1181.939;323;7.7;0;25.213793
93;5963.65;1180.87;22.29;15.144549;4.758304;0.682464;0.314193;7.877;11.654;13.733;14.476;16.305;17.348;18.443;19.366;20.352;149;2;5963.29;1181.331;268;6.2;0;21.839415
94;5970.88;1185.04;21.2;15.578337;4.01226;0.590909;0.257554;9.04;13.024;14.032;15.076;16.4;17.616;18.418;19.004;19.98;151;1;5970.477;1184.745;319;10.9;0;21.89162
95;5976.75;1180.91;19.58;14.020215;4.41049;0.735915;0.314581;6.535;10.502;13.023;13.8;15.455;16.622;17.04;17.516;18.186;171;1;5976.938;1181.43;312;9.4;0;21.722491
96;5909.83;1189.18;27.95;15.992548;5.636689;0.755585;0.352457;8.49;11.128;12.694;14.73;16.39;17.354;19.16;21.37;23.171;289;2;5909.198;1189.321;383;7.4;0;28.654252
97;5915.32;1181.9;24.5;16.051751;4.761127;0.707995;0.296611;9.32;11.93;13.51;14.95;16.72;17.99;19.56;20.34;21.62;290;2;5915.036;1182.311;363;5.6;0;27.533813
98;5918.93;1188.9;21.54;13.630619;6.974227;0.449768;0.511659;2.89;3.34;10.1;14.08;17.26;18.55;19.21;19.73;20.21;285;1;5918.349;1188.87;252;15.6;0;20.053605
99;5919.69;1184.84;22.59;15.815777;5.263858;0.757877;0.332823;4.896;14.028;15.498;16.422;16.9;17.576;18.982;20.002;20.864;263;1;5919.511;1184.818;310;11.5;0;21.673301
100;5928.21;1180.28;19.35;12.302889;4.193917;0.708134;0.340889;6.451;8.466;9.308;11.62;12.53;13.3;15.52;16.77;17.619;240;2;5928.177;1181.139;202;6;0;17.479644
101;5936.9;1183.6;21.68;13.978602;4.895085;0.734322;0.350184;5.179;10.47;12.159;13.51;14.695;16.158;17.241;18.334;19.747;203;2;5936.46;1183.948;231;7.9;0;19.439411
102;5936.16;1179.51;19.73;14.652378;3.522222;0.815217;0.240386;9.219;10.83;14.177;14.998;15.915;16.28;16.828;17.414;18.492;202;2;5936.708;1180.073;293;6.1;0;23.400795
103;5939.52;1181.67;23.24;15.272338;3.953483;0.820408;0.258866;10.432;12.224;13.616;15.03;15.7;16.424;17.298;18.46;19.846;201;2;5939.279;1181.652;325;10.3;0;25.332386
104;5943.93;1181.24;21.82;14.342262;4.014156;0.690625;0.279883;8.882;10.91;12.506;13.444;14.44;15.452;17.096;17.818;19.5;200;2;5943.533;1181.648;286;7;0;22.968344
